n,capacity,time_s
20,571,0.01065870001912117
40,960,0.044533300038892776
60,1512,0.11148640001192689
80,2027,0.19794540002476424
100,2834,0.3604531000019051
120,2628,0.3962605999549851
140,3542,0.6303534000180662
160,4357,0.8913748000049964
180,4678,1.122541899967473
200,5177,1.3299971999949776
